publication_type,colleges,departments
Article,Engineering and Technology,"BS Electronics and Communications Engineering, BS Electrical Engineering, BS Computer Engineering, 
BS Mechanical Engineering, BS Civil Engineering, 
BS Ceramics Engineering, BS Metallurgical Engineering, BS Chemical Engineering"
Book,Science and Mathematics,"BS Biology, BS Chemistry, BS Physics, BS Mathematics, BS Statistics"
Chapter,Computer Studies,"BS in Computer Science, BS in Information Technology, 
BS in Information Systems, BS Electronics and Computer Technology"
Code,Education,"Professional Education, BEEd Language Education, BEEd Science and Mathematics, 
BSEd Biology, BSEd Chemistry, BSEd Physics, 
BSEd Mathematics, Bachelor of Physical Education, BTLEd Home Economics, BTVTEd Drafting Technology, 
BTLEd Industrial Arts"
Conference Paper,Arts and Social Sciences,"BS Psychology, AB English, AB Filipino, AB History, AB Sociology, AB Political Science"
Cover Page,Business Administration & Accountancy,"BS Accountancy, BSBA Business Economics, BSBA Entrepreneurial Marketing, BS Hotel & Restaurant Management"
Data,Nursing,"BS Nursing, "
Experiment Findings,Others,"Others, "
Method,,
Negative Results,,
Patent,,
Poster,,
Preprint,,
Presentation,,
Raw Data,,
Research Proposal,,
Technical Report,,
Thesis,,
Research,,
